,Cut
506,Ideal
507,Premium
508,Premium
509,Ideal
510,Very Good
511,Good
512,Premium
513,Ideal
514,Fair
515,Ideal
516,Premium
517,Ideal
518,Good
519,Ideal
520,Premium
521,Premium
522,Premium
523,Very Good
524,Premium
525,Premium
526,Fair
527,Premium
528,Good
529,Premium
530,Premium
531,Very Good
532,Premium
533,Very Good
534,Premium
535,Ideal
536,Very Good
537,Good
538,Premium
539,Ideal
540,Ideal
541,Ideal
542,Premium
543,Premium
544,Good
545,Ideal
546,Ideal
547,Premium
548,Premium
549,Very Good
550,Very Good
551,Ideal
552,Ideal
553,Ideal
554,Ideal
555,Premium
556,Very Good
557,Ideal
558,Ideal
559,Premium
560,Ideal
561,Very Good
562,Very Good
563,Premium
564,Premium
565,Ideal
566,Premium
567,Good
568,Very Good
569,Very Good
570,Very Good
571,Ideal
572,Ideal
573,Ideal
574,Ideal
575,Ideal
576,Ideal
577,Very Good
578,Ideal
579,Ideal
580,Very Good
581,Fair
582,Ideal
583,Ideal
584,Ideal
585,Ideal
586,Ideal
587,Ideal
588,Premium
589,Very Good
590,Good
591,Premium
592,Ideal
593,Ideal
594,Very Good
595,Fair
596,Premium
597,Premium
598,Premium
599,Premium
600,Premium
601,Very Good
602,Premium
603,Premium
604,Premium
605,Very Good
606,Ideal
607,Ideal
608,Ideal
609,Premium
610,Premium
611,Premium
612,Ideal
613,Ideal
614,Ideal
615,Ideal
616,Premium
617,Premium
618,Premium
619,Premium
620,Very Good
621,Very Good
622,Ideal
623,Premium
624,Ideal
625,Premium
626,Premium
627,Premium
628,Very Good
629,Very Good
630,Ideal
631,Ideal
632,Very Good
633,Ideal
634,Premium
635,Fair
636,Ideal
637,Premium
638,Premium
639,Ideal
640,Premium
641,Very Good
642,Very Good
643,Very Good
644,Very Good
645,Very Good
646,Ideal
647,Very Good
648,Ideal
649,Ideal
650,Ideal
651,Very Good
652,Very Good
653,Ideal
654,Good
655,Ideal
656,Very Good
657,Very Good
658,Good
659,Premium
660,Ideal
661,Very Good
662,Ideal
663,Fair
664,Good
665,Ideal
666,Ideal
667,Good
668,Premium
669,Premium
670,Premium
671,Very Good
672,Ideal
673,Premium
674,Very Good
675,Ideal
676,Fair
677,Good
678,Very Good
679,Very Good
680,Ideal
681,Ideal
682,Very Good
683,Very Good
684,Ideal
685,Very Good
686,Premium
687,Ideal
688,Very Good
689,Ideal
690,Ideal
691,Ideal
692,Very Good
693,Premium
694,Good
695,Ideal
696,Premium
697,Premium
698,Premium
699,Very Good
700,Very Good
701,Premium
702,Premium
703,Fair
704,Fair
705,Good
706,Fair
707,Premium
708,Premium
709,Very Good
710,Good
711,Premium
712,Fair
713,Fair
714,Fair
715,Ideal
716,Ideal
717,Ideal
718,Ideal
719,Fair
720,Ideal
721,Ideal
722,Ideal
723,Good
724,Good
725,Good
726,Good
727,Very Good
728,Ideal
729,Good
730,Ideal
731,Ideal
732,Ideal
733,Ideal
734,Ideal
735,Ideal
736,Ideal
737,Ideal
738,Ideal
739,Premium
740,Premium
741,Premium
742,Ideal
743,Premium
744,Premium
745,Premium
746,Ideal
747,Ideal
748,Good
749,Premium
750,Fair
751,Premium
752,Premium
753,Good
754,Very Good
755,Ideal
756,Premium
757,Premium
758,Ideal
759,Very Good
760,Very Good
761,Premium
762,Premium
763,Premium
764,Very Good
765,Premium
766,Ideal
767,Ideal
768,Premium
769,Good
770,Fair
771,Fair
772,Ideal
773,Premium
774,Premium
775,Ideal
776,Premium
777,Fair
778,Premium
779,Very Good
780,Very Good
781,Ideal
782,Premium
783,Ideal
784,Premium
785,Ideal
786,Ideal
787,Premium
788,Fair
789,Premium
790,Premium
791,Very Good
792,Very Good
793,Very Good
794,Premium
795,Very Good
796,Ideal
797,Very Good
798,Premium
799,Premium
800,Premium
801,Fair
802,Premium
803,Good
804,Ideal
805,Premium
806,Premium
807,Premium
808,Premium
809,Premium
810,Ideal
811,Premium
812,Premium
813,Premium
814,Premium
815,Premium
816,Premium
817,Ideal
818,Premium
819,Ideal
820,Ideal
821,Very Good
822,Premium
823,Very Good
824,Very Good
825,Ideal
826,Ideal
827,Premium
828,Very Good
829,Ideal
830,Ideal
831,Premium
832,Premium
833,Ideal
834,Ideal
835,Ideal
836,Ideal
837,Premium
838,Ideal
839,Fair
840,Ideal
841,Ideal
842,Premium
843,Very Good
844,Premium
845,Ideal
846,Ideal
847,Ideal
848,Ideal
849,Premium
850,Ideal
851,Premium
852,Ideal
853,Ideal
854,Ideal
855,Ideal
856,Premium
857,Premium
858,Very Good
859,Good
860,Premium
861,Ideal
862,Ideal
863,Good
864,Very Good
865,Ideal
866,Very Good
867,Ideal
868,Good
869,Ideal
870,Ideal
871,Very Good
872,Very Good
873,Ideal
874,Good
875,Very Good
876,Very Good
877,Ideal
878,Ideal
879,Fair
880,Fair
881,Premium
882,Good
883,Fair
884,Fair
885,Premium
886,Premium
887,Premium
888,Premium
889,Premium
890,Premium
891,Ideal
892,Ideal
893,Ideal
894,Premium
895,Fair
896,Ideal
897,Fair
898,Fair
899,Fair
900,Premium
901,Premium
902,Very Good
903,Ideal
904,Ideal
905,Good
906,Good
907,Very Good
908,Very Good
909,Very Good
910,Ideal
911,Ideal
912,Very Good
913,Premium
914,Premium
915,Premium
916,Ideal
917,Ideal
918,Ideal
919,Fair
920,Ideal
921,Very Good
922,Very Good
923,Ideal
924,Very Good
925,Premium
926,Very Good
927,Ideal
928,Premium
929,Fair
930,Premium
931,Ideal
932,Good
933,Fair
934,Fair
935,Very Good
936,Premium
937,Ideal
938,Fair
939,Fair
940,Ideal
941,Ideal
942,Very Good
943,Premium
944,Ideal
945,Very Good
946,Very Good
947,Very Good
948,Good
949,Very Good
950,Ideal
951,Ideal
952,Ideal
953,Premium
954,Premium
955,Ideal
956,Ideal
957,Premium
958,Good
959,Ideal
960,Very Good
961,Ideal
962,Ideal
963,Ideal
964,Ideal
965,Good
966,Ideal
967,Fair
968,Very Good
969,Very Good
970,Ideal
971,Ideal
972,Very Good
973,Ideal
974,Good
975,Very Good
976,Premium
977,Very Good
978,Ideal
979,Ideal
980,Very Good
981,Very Good
982,Ideal
983,Very Good
984,Very Good
985,Very Good
986,Ideal
987,Ideal
988,Ideal
989,Ideal
990,Premium
991,Very Good
992,Ideal
993,Very Good
994,Premium
995,Ideal
996,Ideal
997,Good
998,Premium
999,Premium
1000,Ideal
1001,Ideal
1002,Good
1003,Ideal
1004,Ideal
1005,Ideal
1006,Ideal
1007,Ideal
1008,Ideal
1009,Good
1010,Very Good
1011,Premium
1012,Premium
1013,Ideal
1014,Premium
1015,Ideal
1016,Premium
1017,Ideal
1018,Ideal
1019,Fair
1020,Premium
1021,Premium
1022,Ideal
1023,Ideal
1024,Premium
1025,Premium
1026,Very Good
1027,Very Good
1028,Very Good
1029,Ideal
1030,Very Good
1031,Very Good
1032,Very Good
1033,Very Good
1034,Very Good
1035,Ideal
1036,Very Good
1037,Good
1038,Premium
1039,Very Good
1040,Ideal
1041,Good
1042,Ideal
1043,Ideal
1044,Ideal
1045,Ideal
1046,Ideal
1047,Ideal
1048,Ideal
1049,Ideal
1050,Ideal
1051,Ideal
1052,Ideal
1053,Premium
1054,Good
1055,Premium
1056,Premium
1057,Premium
1058,Premium
1059,Very Good
1060,Premium
1061,Premium
1062,Premium
1063,Ideal
1064,Ideal
1065,Ideal
1066,Premium
1067,Ideal
1068,Premium
1069,Premium
1070,Premium
1071,Very Good
1072,Premium
1073,Premium
1074,Premium
1075,Good
1076,Premium
1077,Premium
1078,Ideal
1079,Premium
1080,Very Good
1081,Ideal
1082,Premium
1083,Premium
1084,Ideal
1085,Ideal
1086,Ideal
1087,Very Good
1088,Premium
1089,Ideal
1090,Ideal
1091,Good
1092,Good
1093,Good
1094,Good
1095,Premium
1096,Fair
1097,Fair
1098,Fair
1099,Very Good
1100,Premium
1101,Premium
1102,Premium
1103,Very Good
1104,Ideal
1105,Premium
1106,Premium
1107,Premium
1108,Ideal
1109,Very Good
1110,Ideal
1111,Very Good
1112,Very Good
1113,Very Good
1114,Ideal
1115,Very Good
1116,Ideal
1117,Premium
1118,Ideal
1119,Ideal
1120,Very Good
1121,Very Good
1122,Ideal
1123,Ideal
1124,Very Good
1125,Very Good
1126,Very Good
1127,Premium
1128,Good
1129,Ideal
1130,Ideal
1131,Premium
1132,Ideal
1133,Premium
1134,Ideal
1135,Very Good
1136,Very Good
1137,Very Good
1138,Very Good
1139,Ideal
1140,Fair
1141,Very Good
1142,Very Good
1143,Very Good
1144,Ideal
1145,Ideal
1146,Very Good
1147,Very Good
1148,Very Good
1149,Very Good
1150,Very Good
1151,Ideal
1152,Ideal
1153,Ideal
1154,Ideal
1155,Good
1156,Premium
1157,Ideal
1158,Very Good
1159,Very Good
1160,Very Good
1161,Ideal
1162,Ideal
1163,Premium
1164,Good
1165,Premium
1166,Premium
1167,Very Good
1168,Ideal
1169,Premium
1170,Very Good
1171,Very Good
1172,Very Good
1173,Very Good
1174,Ideal
1175,Ideal
1176,Very Good
1177,Premium
1178,Ideal
1179,Ideal
1180,Ideal
1181,Ideal
1182,Very Good
1183,Fair
1184,Ideal
1185,Very Good
1186,Very Good
1187,Ideal
1188,Premium
1189,Premium
1190,Very Good
1191,Very Good
1192,Very Good
1193,Premium
1194,Ideal
1195,Good
1196,Good
1197,Ideal
1198,Premium
1199,Fair
1200,Premium
1201,Very Good
1202,Very Good
1203,Ideal
1204,Ideal
1205,Ideal
1206,Premium
1207,Premium
1208,Premium
1209,Very Good
1210,Very Good
1211,Ideal
1212,Very Good
1213,Very Good
1214,Very Good
1215,Premium
1216,Ideal
1217,Ideal
1218,Ideal
1219,Ideal
1220,Premium
1221,Ideal
1222,Premium
1223,Good
1224,Very Good
1225,Very Good
1226,Ideal
1227,Fair
1228,Good
1229,Ideal
1230,Ideal
1231,Very Good
1232,Good
1233,Very Good
1234,Premium
1235,Fair
1236,Ideal
1237,Premium
1238,Fair
1239,Ideal
1240,Ideal
1241,Very Good
1242,Ideal
1243,Very Good
1244,Very Good
1245,Very Good
1246,Good
1247,Very Good
1248,Very Good
1249,Ideal
1250,Ideal
1251,Ideal
1252,Ideal
1253,Very Good
1254,Ideal
1255,Ideal
1256,Premium
1257,Ideal
1258,Ideal
1259,Ideal
1260,Ideal
1261,Ideal
1262,Good
1263,Premium
1264,Ideal
1265,Ideal
1266,Premium
1267,Fair
1268,Premium
1269,Ideal
1270,Fair
1271,Very Good
1272,Ideal
1273,Ideal
1274,Ideal
1275,Fair
1276,Very Good
1277,Ideal
1278,Premium
1279,Ideal
1280,Very Good
1281,Ideal
1282,Ideal
1283,Ideal
1284,Very Good
1285,Very Good
1286,Very Good
1287,Very Good
1288,Ideal
1289,Ideal
1290,Ideal
1291,Ideal
1292,Ideal
1293,Ideal
1294,Good
1295,Very Good
1296,Premium
1297,Good
1298,Very Good
1299,Ideal
1300,Premium
1301,Premium
1302,Ideal
1303,Very Good
1304,Ideal
1305,Premium
1306,Very Good
1307,Very Good
1308,Very Good
1309,Good
1310,Very Good
1311,Ideal
1312,Good
1313,Premium
1314,Ideal
1315,Ideal
1316,Ideal
1317,Ideal
1318,Good
1319,Fair
1320,Very Good
1321,Very Good
1322,Premium
1323,Ideal
1324,Fair
1325,Very Good
1326,Very Good
1327,Good
1328,Ideal
1329,Ideal
1330,Ideal
1331,Ideal
1332,Good
1333,Ideal
1334,Very Good
1335,Ideal
1336,Premium
1337,Premium
1338,Premium
1339,Ideal
1340,Ideal
1341,Ideal
1342,Premium
1343,Premium
1344,Premium
1345,Ideal
1346,Ideal
1347,Ideal
1348,Premium
1349,Ideal
1350,Very Good
1351,Very Good
1352,Very Good
1353,Very Good
1354,Good
1355,Fair
1356,Ideal
1357,Fair
1358,Good
1359,Fair
1360,Premium
1361,Fair
1362,Fair
1363,Premium
1364,Fair
1365,Ideal
1366,Ideal
1367,Ideal
1368,Ideal
1369,Ideal
1370,Ideal
1371,Very Good
1372,Very Good
1373,Ideal
1374,Ideal
1375,Ideal
1376,Very Good
1377,Very Good
1378,Very Good
1379,Ideal
1380,Premium
1381,Premium
1382,Ideal
1383,Very Good
1384,Very Good
1385,Very Good
1386,Very Good
1387,Ideal
1388,Ideal
1389,Ideal
1390,Ideal
1391,Ideal
1392,Ideal
1393,Ideal
1394,Ideal
1395,Ideal
1396,Ideal
1397,Ideal
1398,Ideal
1399,Ideal
1400,Ideal
1401,Very Good
1402,Very Good
1403,Very Good
1404,Very Good
1405,Ideal
1406,Ideal
1407,Ideal
1408,Premium
1409,Ideal
1410,Very Good
1411,Premium
1412,Fair
1413,Premium
1414,Premium
1415,Ideal
1416,Ideal
1417,Premium
1418,Very Good
1419,Good
1420,Premium
1421,Ideal
1422,Good
1423,Fair
1424,Very Good
1425,Ideal
1426,Ideal
1427,Very Good
1428,Premium
1429,Very Good
1430,Ideal
1431,Ideal
1432,Ideal
1433,Very Good
1434,Good
1435,Ideal
1436,Ideal
1437,Good
1438,Fair
1439,Ideal
1440,Very Good
1441,Premium
1442,Very Good
1443,Ideal
1444,Premium
1445,Ideal
1446,Premium
1447,Ideal
1448,Ideal
1449,Ideal
1450,Very Good
1451,Ideal
1452,Premium
1453,Ideal
1454,Ideal
1455,Ideal
1456,Ideal
1457,Ideal
1458,Ideal
1459,Ideal
1460,Premium
1461,Ideal
1462,Good
1463,Good
1464,Ideal
1465,Premium
1466,Ideal
1467,Good
1468,Ideal
1469,Fair
1470,Ideal
1471,Very Good
1472,Premium
1473,Ideal
1474,Very Good
1475,Premium
1476,Very Good
1477,Ideal
1478,Premium
1479,Very Good
1480,Ideal
1481,Ideal
1482,Ideal
1483,Ideal
1484,Ideal
1485,Premium
1486,Very Good
1487,Very Good
1488,Ideal
1489,Ideal
1490,Premium
1491,Very Good
1492,Very Good
1493,Good
1494,Ideal
1495,Ideal
1496,Very Good
1497,Ideal
1498,Fair
1499,Very Good
1500,Very Good
1501,Very Good
1502,Ideal
1503,Ideal
1504,Ideal
1505,Ideal
1506,Fair
1507,Very Good
1508,Very Good
1509,Very Good
1510,Premium
1511,Premium
1512,Premium
1513,Ideal
1514,Ideal
1515,Fair
1516,Very Good
1517,Ideal
1518,Ideal
1519,Ideal
1520,Ideal
1521,Ideal
1522,Ideal
1523,Fair
1524,Fair
1525,Very Good
1526,Very Good
1527,Fair
1528,Premium
1529,Ideal
1530,Premium
1531,Premium
1532,Premium
1533,Premium
1534,Ideal
1535,Good
1536,Premium
1537,Very Good
1538,Ideal
1539,Very Good
1540,Premium
1541,Good
1542,Very Good
1543,Ideal
1544,Very Good
1545,Very Good
1546,Very Good
1547,Premium
1548,Good
1549,Good
1550,Ideal
1551,Premium
1552,Fair
1553,Ideal
1554,Fair
1555,Premium
1556,Premium
1557,Ideal
1558,Ideal
1559,Ideal
1560,Ideal
1561,Ideal
1562,Premium
1563,Very Good
1564,Ideal
1565,Very Good
1566,Ideal
1567,Ideal
1568,Very Good
1569,Very Good
1570,Premium
1571,Very Good
1572,Premium
1573,Ideal
1574,Ideal
1575,Premium
1576,Ideal
1577,Ideal
1578,Ideal
1579,Ideal
1580,Ideal
1581,Ideal
1582,Very Good
1583,Very Good
1584,Ideal
1585,Ideal
1586,Premium
1587,Very Good
1588,Very Good
1589,Very Good
1590,Very Good
1591,Ideal
1592,Very Good
1593,Ideal
1594,Ideal
1595,Very Good
1596,Very Good
1597,Fair
1598,Fair
1599,Fair
1600,Ideal
1601,Ideal
1602,Ideal
1603,Ideal
1604,Ideal
1605,Ideal
1606,Ideal
1607,Ideal
1608,Fair
1609,Very Good
1610,Ideal
1611,Ideal
1612,Ideal
1613,Ideal
1614,Very Good
1615,Premium
1616,Very Good
1617,Ideal
1618,Ideal
1619,Ideal
1620,Premium
1621,Ideal
1622,Ideal
1623,Very Good
1624,Premium
1625,Good
1626,Very Good
1627,Very Good
1628,Ideal
1629,Ideal
1630,Very Good
1631,Premium
1632,Ideal
1633,Good
1634,Ideal
1635,Premium
1636,Ideal
1637,Very Good
1638,Very Good
1639,Premium
1640,Ideal
1641,Good
1642,Very Good
1643,Good
1644,Very Good
1645,Premium
1646,Ideal
1647,Ideal
1648,Good
1649,Very Good
1650,Premium
1651,Premium
1652,Premium
1653,Premium
1654,Ideal
1655,Very Good
1656,Ideal
1657,Ideal
1658,Good
1659,Good
1660,Premium
1661,Very Good
1662,Good
1663,Premium
1664,Fair
1665,Premium
1666,Good
1667,Premium
1668,Very Good
1669,Premium
1670,Very Good
1671,Very Good
1672,Ideal
1673,Ideal
1674,Ideal
1675,Fair
1676,Fair
1677,Premium
1678,Good
1679,Very Good
1680,Ideal
1681,Ideal
1682,Fair
1683,Premium
1684,Good
1685,Very Good
1686,Ideal
1687,Very Good
1688,Ideal
1689,Ideal
1690,Ideal
1691,Good
1692,Very Good
1693,Good
1694,Fair
1695,Premium
1696,Ideal
1697,Good
1698,Ideal
1699,Very Good
1700,Ideal
1701,Ideal
1702,Ideal
1703,Ideal
1704,Very Good
1705,Ideal
1706,Premium
1707,Ideal
1708,Ideal
1709,Very Good
1710,Good
1711,Premium
1712,Good
1713,Premium
1714,Ideal
1715,Premium
1716,Premium
1717,Very Good
1718,Good
1719,Good
1720,Ideal
1721,Ideal
1722,Ideal
1723,Premium
1724,Very Good
1725,Premium
1726,Good
1727,Very Good
1728,Ideal
1729,Very Good
1730,Premium
1731,Very Good
1732,Ideal
1733,Premium
1734,Good
1735,Very Good
1736,Premium
1737,Ideal
1738,Ideal
1739,Ideal
1740,Ideal
1741,Ideal
1742,Ideal
1743,Ideal
1744,Very Good
1745,Fair
1746,Very Good
1747,Premium
1748,Ideal
1749,Ideal
1750,Ideal
1751,Good
1752,Ideal
1753,Very Good
1754,Premium
1755,Ideal
1756,Very Good
1757,Ideal
1758,Very Good
1759,Very Good
1760,Very Good
1761,Very Good
1762,Premium
1763,Ideal
1764,Ideal
1765,Very Good
1766,Good
1767,Very Good
1768,Fair
1769,Premium
1770,Premium
1771,Ideal
1772,Very Good
1773,Very Good
1774,Premium
1775,Ideal
1776,Good
1777,Very Good
1778,Ideal
1779,Premium
1780,Premium
1781,Ideal
1782,Ideal
1783,Ideal
1784,Very Good
1785,Very Good
1786,Ideal
1787,Ideal
1788,Good
1789,Ideal
1790,Good
1791,Very Good
1792,Very Good
1793,Ideal
1794,Very Good
1795,Fair
1796,Very Good
1797,Very Good
1798,Very Good
1799,Ideal
1800,Ideal
1801,Ideal
1802,Ideal
1803,Very Good
1804,Premium
1805,Premium
1806,Ideal
1807,Very Good
1808,Premium
1809,Premium
1810,Fair
1811,Fair
1812,Very Good
1813,Very Good
1814,Ideal
1815,Ideal
1816,Ideal
1817,Very Good
1818,Very Good
1819,Ideal
1820,Good
1821,Good
1822,Fair
1823,Good
1824,Premium
1825,Premium
1826,Very Good
1827,Very Good
1828,Very Good
1829,Very Good
1830,Good
1831,Very Good
1832,Very Good
1833,Very Good
1834,Very Good
1835,Ideal
1836,Good
1837,Fair
1838,Premium
1839,Ideal
1840,Fair
1841,Premium
1842,Premium
1843,Premium
1844,Very Good
1845,Very Good
1846,Good
1847,Very Good
1848,Premium
1849,Ideal
1850,Ideal
1851,Ideal
1852,Very Good
1853,Ideal
1854,Ideal
1855,Very Good
1856,Ideal
1857,Ideal
1858,Ideal
1859,Ideal
1860,Ideal
1861,Very Good
1862,Good
1863,Ideal
1864,Very Good
1865,Ideal
1866,Very Good
1867,Very Good
1868,Very Good
1869,Good
1870,Very Good
1871,Ideal
1872,Good
1873,Very Good
1874,Very Good
1875,Ideal
1876,Ideal
1877,Ideal
1878,Premium
1879,Premium
1880,Good
1881,Very Good
1882,Fair
1883,Ideal
1884,Good
1885,Very Good
1886,Very Good
1887,Very Good
1888,Very Good
1889,Ideal
1890,Ideal
1891,Ideal
1892,Ideal
1893,Very Good
1894,Very Good
1895,Ideal
1896,Fair
1897,Premium
1898,Good
1899,Premium
1900,Premium
1901,Ideal
1902,Good
1903,Fair
1904,Very Good
1905,Ideal
1906,Fair
1907,Premium
1908,Premium
1909,Premium
1910,Ideal
1911,Ideal
1912,Very Good
1913,Ideal
1914,Ideal
1915,Ideal
1916,Very Good
1917,Very Good
1918,Ideal
1919,Ideal
1920,Good
1921,Very Good
1922,Premium
1923,Premium
1924,Ideal
1925,Premium
1926,Premium
1927,Premium
1928,Very Good
1929,Premium
1930,Very Good
1931,Very Good
1932,Premium
1933,Ideal
1934,Ideal
1935,Ideal
1936,Good
1937,Good
1938,Very Good
1939,Premium
1940,Premium
1941,Fair
1942,Fair
1943,Premium
1944,Ideal
1945,Premium
1946,Very Good
1947,Fair
1948,Ideal
1949,Very Good
1950,Premium
1951,Ideal
1952,Good
1953,Good
1954,Very Good
1955,Good
1956,Ideal
1957,Ideal
1958,Good
1959,Very Good
1960,Premium
1961,Ideal
1962,Ideal
1963,Ideal
1964,Ideal
1965,Ideal
1966,Ideal
1967,Ideal
1968,Ideal
1969,Ideal
1970,Ideal
1971,Premium
1972,Ideal
1973,Premium
1974,Premium
1975,Premium
1976,Very Good
1977,Very Good
1978,Ideal
1979,Ideal
1980,Very Good
1981,Ideal
1982,Ideal
1983,Ideal
1984,Ideal
1985,Very Good
1986,Very Good
1987,Premium
1988,Premium
1989,Very Good
1990,Very Good
1991,Good
1992,Premium
